Coin Code,Exchange,Market,Buy,Sell,Last,Volume
42,CRYPTSY,BTC,70.0,70.0,0.09434997,70.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ADT,CRYPTSY,LTC,2.2E-7,2.2E-7,1.5921360114873958E8,2.2E-7

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ALF,CRYPTSY,BTC,1.59E-6,1.59E-6,132914.64895865,1.59E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AMC,CRYPTSY,BTC,2.29E-6,2.29E-6,199128.34069708,2.29E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ANC,CRYPTSY,BTC,0.00150013,0.00150013,6476.02492314,0.00150013
ANC,CRYPTSY,LTC,0.06121496,0.06121496,1165.24756435,0.06121496
ANC,COINEX,BTC,0.2,0.2,5.18868598E8,110410.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ARG,CRYPTSY,BTC,4.2E-5,4.2E-5,7698.56323989,4.2E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ASC,CRYPTSY,LTC,1.022E-5,1.022E-5,8610505.97601684,1.022E-5
ASC,COINEX,BTC,0.2,0.2,5.461643610346E12,18.0
ASC,COINEX,DOGE,0.2,0.2,6.862176202431E12,1.85E7
ASC,COINEX,LTC,0.2,0.2,6.278870568908E12,800.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AUR,CRYPTSY,BTC,0.00287468,0.00287468,63848.31649891,0.00287468
AUR,CRYPTSY,LTC,0.1135,0.1135,1897.32120216,0.1135
AUR,BTER,BTC,0.003001,0.00316699,3513.111,0.00300001

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BAT,CRYPTSY,LTC,2.8E-7,2.8E-7,6.840508335755543E7,2.8E-7
BAT,CRYPTSY,BTC,1.0E-8,1.0E-8,1.111848770459082E7,1.0E-8

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BC,CRYPTSY,BTC,9.556E-5,9.556E-5,430923.32460135,9.556E-5
BC,BTER,BTC,9.4E-5,9.6E-5,36358.525,9.399E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BCX,CRYPTSY,BTC,5.75E-6,5.75E-6,248620.78724057,5.75E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BEN,CRYPTSY,BTC,1.81E-5,1.81E-5,26354.70676111,1.81E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BET,CRYPTSY,BTC,7.85E-6,7.85E-6,146796.529044,7.85E-6
BET,COINEX,LTC,0.2,0.2,3.798980663E10,11650.0
BET,COINEX,BTC,0.2,0.2,1.02576500957E11,582.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BFC,COINEX,BTC,0.2,0.2,2.6261551356978E13,28.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BOC,COINEX,LTC,0.2,0.2,1.998E10,363.0
BOC,COINEX,BTC,0.2,0.2,3.09328284298E11,65.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BQC,CRYPTSY,BTC,1.118E-5,1.118E-5,64756.26463626,1.118E-5
BQC,BTER,BTC,1.18E-5,1.18E-5,264059.97,1.21E-5
BQC,BTER,CNY,0.029,0.0317,191183.142,0.029

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTB,CRYPTSY,BTC,0.04147389,0.04147389,36.61340401,0.04147389
BTB,BTER,BTC,0.0437,0.04478,52.9652,0.0437
BTB,BTER,CNY,100.6,128.93,6.088,113.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTC,CRYPTSY,USD,0.0,0.0,0.0,0.0
BTC,BTER,CNY,2506.0,2529.0,367.1701,2528.99
BTC,BITTREX,10-5,1.21E-5,1.21E-5,364.2634366,1.21E-5
BTC,BITTREX,365,2.79,2.79,1.12675505,2.79
BTC,BITTREX,888,1.008E-5,1.008E-5,167661.87013767,1.008E-5
BTC,BITTREX,AAA,0.36411,0.36411,-1.0,0.36411
BTC,BITTREX,APH,7.0E-7,7.0E-7,1087487.47933695,7.0E-7
BTC,BITTREX,AUR,0.00235,0.00235,6.74592599,0.00235
BTC,BITTREX,BC,1.4E-4,1.4E-4,4079.55596108,1.4E-4
BTC,BITTREX,BEA,1.07E-5,1.07E-5,-1.0,1.07E-5
BTC,BITTREX,BELA,8.5E-7,8.5E-7,20533.64081101,8.5E-7
BTC,BITTREX,BELI,1.0E-8,1.0E-8,1000000.0,1.0E-8
BTC,BITTREX,BLTZ,1.25E-6,1.25E-6,1580262.11208674,1.25E-6
BTC,BITTREX,BNS,3.0E-8,3.0E-8,3304.89425118,3.0E-8
BTC,BITTREX,BONES,2.05E-6,2.05E-6,-1.0,2.05E-6
BTC,BITTREX,BTL,8.09E-6,8.09E-6,496862.15976173,8.09E-6
BTC,BITTREX,C2,8.0E-6,8.0E-6,13843.60570494,8.0E-6
BTC,BITTREX,CAT,7.0E-5,7.0E-5,-1.0,7.0E-5
BTC,BITTREX,CATC,9.0E-5,9.0E-5,6297.82887667,9.0E-5
BTC,BITTREX,CESC,1.5E-6,1.5E-6,67097.94927972,1.5E-6
BTC,BITTREX,CGA,0.00115,0.00115,-1.0,0.00115
BTC,BITTREX,CGB,0.00265,0.00265,-1.0,0.00265
BTC,BITTREX,COMM,5.0E-7,5.0E-7,9925.38,5.0E-7
BTC,BITTREX,DIME,1.0E-8,1.0E-8,-1.0,1.0E-8
BTC,BITTREX,DOGE,1.0E-6,1.0E-6,1121572.67969985,1.0E-6
BTC,BITTREX,DRK,0.0011,0.0011,107.30232748,0.0011
BTC,BITTREX,EAC,6.0E-8,6.0E-8,-1.0,6.0E-8
BTC,BITTREX,ECC,4.0E-8,4.0E-8,2144887.10609,4.0E-8
BTC,BITTREX,EFL,1.7997E-4,1.7997E-4,46247.05204779,1.7997E-4
BTC,BITTREX,EMC2,3.78E-6,3.78E-6,34635.5550299,3.78E-6
BTC,BITTREX,EXE,7.001E-5,7.001E-5,276.80770993,7.001E-5
BTC,BITTREX,FAC,3.0E-5,3.0E-5,-1.0,3.0E-5
BTC,BITTREX,FLT,2.0E-6,2.0E-6,3010.865,2.0E-6
BTC,BITTREX,FRX,1.0E-8,1.0E-8,-1.0,1.0E-8
BTC,BITTREX,FTC,2.5E-5,2.5E-5,50.0,2.5E-5
BTC,BITTREX,GAC,9.0E-6,9.0E-6,52006.25547992,9.0E-6
BTC,BITTREX,GER,2.02E-5,2.02E-5,35337.27187125,2.02E-5
BTC,BITTREX,GLD,4.0E-5,4.0E-5,624.25663324,4.0E-5
BTC,BITTREX,GPUC,4.0E-8,4.0E-8,375178.64511092,4.0E-8
BTC,BITTREX,GRCE,2.22E-5,2.22E-5,7423.64808408,2.22E-5
BTC,BITTREX,GRS,1.0E-5,1.0E-5,4837.02973974,1.0E-5
BTC,BITTREX,H2O,4.9E-7,4.9E-7,447133.75361722,4.9E-7
BTC,BITTREX,HIC,3.4E-6,3.4E-6,392524.90747997,3.4E-6
BTC,BITTREX,HIRO,6.65E-6,6.65E-6,595.43784204,6.65E-6
BTC,BITTREX,HKC,1.1E-7,1.1E-7,1867276.51476984,1.1E-7
BTC,BITTREX,HPC,1.1E-6,1.1E-6,-1.0,1.1E-6
BTC,BITTREX,ICN,8.8E-6,8.8E-6,81.35923584,8.8E-6
BTC,BITTREX,IFC,4.0E-8,4.0E-8,-1.0,4.0E-8
BTC,BITTREX,IPC,1.0E-7,1.0E-7,4492.85973783,1.0E-7
BTC,BITTREX,IQD,1.88E-4,1.88E-4,-1.0,1.88E-4
BTC,BITTREX,ISR,5.65E-4,5.65E-4,251503.8916866,5.65E-4
BTC,BITTREX,JBG,3.0E-7,3.0E-7,-1.0,3.0E-7
BTC,BITTREX,KARM,1.0E-8,1.0E-8,54.0,1.0E-8
BTC,BITTREX,KMC,3.5E-7,3.5E-7,843578.04885481,3.5E-7
BTC,BITTREX,LGD,-1.0,-1.0,-1.0,-1.0
BTC,BITTREX,LTC,0.0256,0.0256,112.3151144,0.0256
BTC,BITTREX,MEOW,3.0E-8,3.0E-8,-1.0,3.0E-8
BTC,BITTREX,MINT,1.4E-7,1.4E-7,41315.4807,1.4E-7
BTC,BITTREX,MMC,1.55E-4,1.55E-4,3347.07203885,1.55E-4
BTC,BITTREX,MPL,6.0E-8,6.0E-8,507796.55299746,6.0E-8
BTC,BITTREX,MRS,3.19E-5,3.19E-5,-1.0,3.19E-5
BTC,BITTREX,MUN,7.203E-5,7.203E-5,26773.74289258,7.203E-5
BTC,BITTREX,MYR,7.0E-6,7.0E-6,359.32287722,7.0E-6
BTC,BITTREX,MZC,2.1E-6,2.1E-6,7748.9615943,2.1E-6
BTC,BITTREX,NLG,3.54E-6,3.54E-6,6203099.40216268,3.54E-6
BTC,BITTREX,NXT,6.5E-5,6.5E-5,-1.0,6.5E-5
BTC,BITTREX,NYC,1.0E-8,1.0E-8,1250000.0,1.0E-8
BTC,BITTREX,PAWN,5.8E-6,5.8E-6,20645.06832665,5.8E-6
BTC,BITTREX,PCC,1.41E-6,1.41E-6,23953.67365126,1.41E-6
BTC,BITTREX,PCN,1.2E-7,1.2E-7,490269.97632252,1.2E-7
